iter	Passed	Remaining
0	143	143789
1	283	141657
2	392	130561
3	516	128684
4	642	127782
5	756	125367
6	871	123623
7	991	122957
8	1084	119426
9	1187	117595
10	1298	116765
11	1396	114986
12	1491	113215
13	1617	113931
14	1721	113070
15	1842	113312
16	1922	111175
17	2010	109671
18	2122	109582
19	2242	109864
20	2344	109318
21	2447	108805
22	2568	109121
23	2688	109343
24	2789	108809
25	2908	108955
26	3034	109355
27	3149	109332
28	3228	108101
29	3335	107843
30	3441	107580
31	3550	107408
32	3663	107354
33	3761	106873
34	3863	106513
35	3973	106393
36	4072	105986
37	4193	106154
38	4293	105787
39	4407	105772
40	4499	105234
41	4620	105399
42	4740	105500
43	4853	105450
44	4962	105317
45	5082	105399
46	5196	105367
47	5283	104794
48	5392	104657
49	5493	104381
50	5602	104242
51	5699	103902
52	5812	103860
53	5913	103599
54	5998	103068
55	6096	102770
56	6212	102773
57	6343	103030
58	6458	103003
59	6573	102980
60	6676	102767
61	6783	102632
62	6877	102296
63	6986	102174
64	7103	102184
65	7219	102162
66	7309	101783
67	7405	101502
68	7508	101310
69	7607	101067
70	7716	100963
71	7820	100801
72	7915	100518
73	8030	100485
74	8141	100409
75	8229	100048
76	8342	99999
77	8445	99831
78	8534	99491
79	8628	99228
80	8739	99153
81	8846	99035
82	8963	99032
83	9078	99001
84	9177	98794
85	9275	98580
86	9394	98591
87	9504	98497
88	9601	98284
89	9701	98089
90	9784	97733
91	9907	97784
92	10010	97627
93	10123	97573
94	10235	97509
95	10356	97522
96	10475	97515
97	10582	97404
98	10698	97371
99	10813	97324
100	10908	97100
101	11026	97074
102	11147	97076
103	11262	97030
104	11383	97028
105	11508	97063
106	11626	97035
107	11725	96844
108	11852	96887
109	11961	96782
110	12074	96702
111	12178	96561
112	12304	96587
113	12421	96536
114	12551	96593
115	12681	96641
116	12782	96466
117	12889	96344
118	13006	96288
119	13128	96272
120	13230	96114
121	13351	96084
122	13460	95974
123	13571	95872
124	13683	95784
125	13798	95712
126	13907	95599
127	14022	95529
128	14130	95407
129	14231	95244
130	14343	95146
131	14462	95102
132	14566	94958
133	14682	94887
134	14782	94716
135	14895	94628
136	15004	94516
137	15125	94478
138	15233	94361
139	15332	94183
140	15451	94132
141	15566	94056
142	15689	94025
143	15786	93841
144	15913	93832
145	16018	93694
146	16133	93618
147	16257	93590
148	16374	93523
149	16505	93529
150	16607	93378
151	16719	93277
152	16835	93200
153	16945	93091
154	17059	93001
155	17179	92944
156	17287	92825
157	17407	92768
158	17519	92667
159	17641	92620
160	17743	92462
161	17860	92390
162	17960	92227
163	18081	92169
164	18201	92109
165	18306	91975
166	18414	91851
167	18527	91752
168	18632	91618
169	18746	91525
170	18871	91488
171	18978	91359
172	19091	91263
173	19202	91156
174	19316	91063
175	19446	91043
176	19538	90848
177	19641	90706
178	19761	90638
179	19877	90554
180	19980	90409
181	20101	90345
182	20214	90245
183	20328	90151
184	20437	90034
185	20581	90069
186	20722	90092
187	20839	90010
188	20949	89894
189	21058	89774
190	21182	89720
191	21311	89686
192	21427	89595
193	21544	89511
194	21636	89321
195	21769	89297
196	21888	89219
197	22004	89128
198	22121	89042
199	22228	88914
200	22343	88816
201	22460	88728
202	22580	88654
203	22687	88523
204	22818	88490
205	22935	88401
