task    , MCC  , Accuracy, Recall, Precision, F-beta, AUC  , TP   , TN        , FP     , FN    , Train Time (s), Predict Time (s)
task_1_2, 0.033,    0.775,  0.004,     0.553,  0.008, 0.567,  26.0,  20954.0  ,  21.0  , 6069.0,          4.449,            0.005
task_2_3, 0.517,    0.996,  0.481,     0.561,  0.518, 0.844, 115.0,  47377.0  ,  90.0  ,  124.0,          6.103,            0.008
task_3_4, 0.213,    0.995,  0.078,     0.594,  0.137, 0.787,  19.0,  47834.0  ,  13.0  ,  226.0,          6.222,            0.012
task_4_5, 0.213,    0.996,  0.115,     0.4  ,  0.178, 0.663,  64.0, 139206.0  ,  96.0  ,  494.0,          2.406,            0.023
task_5_6, 0.228,    0.996,  0.116,     0.452,  0.185, 0.867,  28.0,  64249.0  ,  34.0  ,  213.0,          4.989,            0.015
task_1_3, 0.132,    0.984,  0.028,     0.641,  0.054, 0.789,  66.0, 143341.0  ,  37.0  , 2290.0,          5.776,            0.023
task_2_4, 0.183,    0.996,  0.064,     0.529,  0.114, 0.704,  37.0, 149388.0  ,  33.0  ,  542.0,          8.777,            0.027
task_3_5, 0.175,    0.996,  0.039,     0.786,  0.075, 0.715,  22.0, 139296.0  ,   6.0  ,  536.0,          8.857,            0.021
task_4_6, 0.185,    0.996,  0.083,     0.417,  0.138, 0.892,  20.0,  64255.0  ,  28.0  ,  221.0,         11.077,            0.013
task_1_4, 0.387,    0.997,  0.2  ,     0.753,  0.317, 0.805, 116.0, 149383.0  ,  38.0  ,  463.0,         11.692,            0.026
task_2_5, 0.358,    0.996,  0.242,     0.534,  0.333, 0.902, 135.0, 139183.0  , 118.0  ,  423.0,         16.178,            0.025
task_3_6, 0.191,    0.996,  0.095,     0.39 ,  0.153, 0.904,  23.0,  64246.0  ,  36.0  ,  218.0,         18.08 ,            0.02
task_1_5, 0.316,    0.996,  0.1  ,     1.0  ,  0.182, 0.87 ,  56.0, 139302.0  ,   0.0  ,  502.0,         18.854,            0.023
task_2_6, 0.2  ,    0.996,  0.083,     0.488,  0.142, 0.895,  20.0,  64261.0  ,  21.0  ,  221.0,         23.651,            0.018
task_1_6, 0.089,    0.994,  0.087,     0.099,  0.093, 0.882,  21.0,  64090.0  , 192.0  ,  220.0,         28.954,            0.02
AVERAGE , 0.228,    0.98 ,  0.121,     0.546,  0.175, 0.806,  51.2,  95757.667,  50.867,  850.8,         11.738,            0.019
