task,MCC,Accuracy,Recall,Precision,F-beta,AUC,TP,TN,FP,FN,Train Time (s),Predict Time (s)
task_2_3,0.456,0.994,0.469,0.45,0.459,0.919,112.0,47330.0,137.0,127.0,26.121,0.008
task_3_4,0.337,0.995,0.171,0.667,0.273,0.859,42.0,47826.0,21.0,203.0,25.547,0.027
task_4_5,0.124,0.996,0.034,0.467,0.063,0.428,7.0,49283.0,8.0,201.0,28.029,0.011
task_5_6,0.245,0.996,0.124,0.49,0.198,0.854,24.0,45934.0,25.0,170.0,24.728,0.012
task_1_3,0.494,0.993,0.402,0.615,0.486,0.841,241.0,74027.0,151.0,358.0,36.655,0.013
task_2_4,0.3,0.996,0.112,0.812,0.196,0.852,52.0,95320.0,12.0,414.0,47.548,0.035
task_3_5,0.337,0.996,0.114,1.0,0.205,0.778,55.0,97110.0,0.0,427.0,46.946,0.016
task_4_6,0.33,0.996,0.253,0.435,0.32,0.927,83.0,95217.0,108.0,245.0,46.888,0.038
task_1_4,0.392,0.996,0.197,0.785,0.315,0.788,102.0,122324.0,28.0,415.0,59.706,0.025
task_2_5,0.329,0.996,0.112,0.971,0.2,0.898,66.0,144705.0,2.0,525.0,68.453,0.023
task_3_6,0.338,0.997,0.119,0.966,0.211,0.91,57.0,143263.0,2.0,424.0,66.348,0.022
task_1_5,0.281,0.996,0.155,0.514,0.238,0.904,108.0,171571.0,102.0,588.0,81.489,0.038
task_2_6,0.316,0.997,0.104,0.96,0.188,0.925,72.0,190759.0,3.0,618.0,90.112,0.034
task_1_6,0.264,0.997,0.07,1.0,0.131,0.909,55.0,217737.0,0.0,731.0,100.677,0.037
AVERAGE,0.325,0.996,0.174,0.724,0.249,0.842,76.857,110171.857,42.786,389.0,53.518,0.024
